kota_kabupaten_id,nama,url
5204,Kabupaten Sumbawa,
5205,Kabupaten Dompu,https://dompukab.go.id
5206,Kabupaten Bima,https://bimakab.go.id
5207,Kabupaten Sumbawa Barat,https://sumbawabaratkab.go.id
5208,Kabupaten Lombok Utara,https://lombokutarakab.go.id
5271,Kota Mataram,https://mataramkota.go.id
5272,Kota Bima,https://mail.klungkungkab.go.id/
5301,Kabupaten Kupang,https://kupangkab.go.id
5302,Kabupaten Timor Tengah Selatan,https://ttskab.go.id/
5303,Kabupaten Timor Tengah Utara,https://ttukab.go.id/
5304,Kabupaten Belu,https://belukab.go.id
5305,Kabupaten Alor,https://alorkab.go.id/x
5306,Kabupaten Flores Timur,https://florestimurkab.go.id
5307,Kabupaten Sikka,https://sikkakab.go.id
5308,Kabupaten Ende,https://endekab.go.id
5309,Kabupaten Ngada,https://portal.ngadakab.go.id
5310,Kabupaten Manggarai,https://www.manggaraikab.go.id/
5311,Kabupaten Sumba Timur,https://sumbatimurkab.go.id
5312,Kabupaten Sumba Barat,https://sumbabaratkab.go.id
5313,Kabupaten Lembata,https://lembatakab.go.id
5314,Kabupaten Rote Ndao,https://rotendaokab.go.id
5315,Kabupaten Manggarai Barat,https://manggaraibaratkab.go.id
5316,Kabupaten Nagekeo,https://nagekeokab.go.id/
5317,Kabupaten Sumba Tengah,https://sumbatengahkab.go.id
5318,Kabupaten Sumba Barat Daya,https://sbdkab.go.id/
5319,Kabupaten Manggarai Timur,https://manggaraitimurkab.go.id
5320,Kabupaten Sabu Raijua,https://saburaijuakab.go.id
5321,Kabupaten Malaka,https://malakakab.go.id
5371,Kota Kupang,https://kupangkota.go.id
6101,Kabupaten Sambas,https://sambaskab.go.id
6102,Kabupaten Mempawah,https://mempawahkab.go.id
6103,Kabupaten Sanggau,https://sanggau.go.id
6104,Kabupaten Ketapang,https://ketapangkab.go.id
6105,Kabupaten Sintang,https://sintang.go.id
6106,Kabupaten Kapuas Hulu,https://kapuashulukab.go.id
6107,Kabupaten Bengkayang,https://bengkayangkab.go.id
6108,Kabupaten Landak,https://landakkab.go.id/
6109,Kabupaten Sekadau,https://sekadaukab.go.id
6110,Kabupaten Melawi,https://melawikab.go.id
6111,Kabupaten Kayong Utara,https://kayongutarakab.go.id
6112,Kabupaten Kubu Raya,https://kuburaya.go.id/beranda
6171,Kota Pontianak,https://pontianak.go.id
6172,Kota Singkawang,https://singkawangkota.go.id
6201,Kabupaten Kotawaringin Barat,http://site.kotawaringinbaratkab.go.id/
6202,Kabupaten Kotawaringin Timur,https://kotimkab.go.id/
6203,Kabupaten Kapuas,https://kapuaskab.go.id/
6204,Kabupaten Barito Selatan,http://baritoselatankab.go.id/
6205,Kabupaten Barito Utara,https://baritoutarakab.go.id/
6206,Kabupaten Katingan,http://portal.katingankab.go.id/
6207,Kabupaten Seruyan,https://seruyankab.go.id/
6208,Kabupaten Sukamara,http://sukamarakab.go.id/
