id,nama,lat,lng,kecamatan_id
1101012001,Keude Bakongan,2.931094803160483,97.48458404258515,110101
1101012002,Ujong Mangki,2.9527245335971086,97.43761867741745,110101
1101012003,Ujong Padang,2.9622684024777572,97.47312231864314,110101
1101012004,Gampong Drien,2.988566771211417,97.47295391780203,110101
1101012015,Darul Ikhsan,2.9230817666305313,97.4823028983678,110101
1101012016,Padang Beurahan,2.937177480439262,97.47204256675045,110101
1101012017,Gampong Baro,2.922065810453242,97.49856839320057,110101
1101022001,Fajar Harapan,3.1270457497256343,97.31522744914469,110102
1101022002,Krueng Batee,3.110387050251406,97.31758516743746,110102
1101022003,Pasi Kuala Asahan,3.1199048773598945,97.30183383799212,110102
1101022004,Gunong Pulo,3.136355845251368,97.34081480666063,110102
1101022005,Pulo Ie I,3.105608925693741,97.3325875332847,110102
1101022006,Jambo Manyang,3.095464426989236,97.32576790737164,110102
1101022007,Simpang Empat,3.086016213571683,97.3320113569481,110102
1101022008,Limau Purut,3.0877398220883174,97.34691552789268,110102
1101022009,Pulo Kambing,3.1008252768356535,97.35905559386693,110102
1101022010,Kampung Paya,3.111444082200715,97.36538833785245,110102
1101022011,Krueng Batu,3.1144969344486326,97.3496672706651,110102
1101022012,Krueng Kluet,3.1219364670140357,97.36892304244007,110102
1101022013,Alur Mas,3.1569182597290504,97.36663856012956,110102
1101022014,Kampung Tinggi,3.1283025558444857,97.37604411312763,110102
1101022015,Ruak,3.133503820895572,97.38464689178751,110102
1101022016,Simpang Lhee,3.083437879288497,97.3217747467295,110102
1101022017,Suaq Geuringgeng,3.085371340160963,97.3173581598015,110102
1101022018,Pasi Kuala Ba'U,3.091123974154729,97.31022017532315,110102
1101022019,Kedai Padang,3.0757938696381557,97.31650537598631,110102
1101022020,Kotafajar,3.0930705059481562,97.34356887352756,110102
1101022021,Gunung Pudung,3.1490344844161116,97.38625912872075,110102
1101032001,Suaq Bakung,3.051898842842367,97.32456488311041,110103
1101032002,Rantau Binuang,3.0627242012064393,97.32344249797116,110103
1101032003,Barat Daya,3.0547215060162385,97.33282237182632,110103
