kode,bank,url,logo
124,Bank KALTIMTARA (Bank Kalimantan Timur dan Utara),,https://upload.wikimedia.org/wikipedia/commons/c/cc/Logo_Bankaltimtara.png
125,Bank KALTENG (Bank Kalimantan Tengah),,https://upload.wikimedia.org/wikipedia/commons/d/d6/Logo_bank_kalteng.jpg
126,Bank SULSELBAR (Bank Sulawesi Selatan dan Barat),,https://upload.wikimedia.org/wikipedia/commons/c/c0/Logo_Bank_Sulselbar.png
127,Bank SULUTGO (Bank Sulawesi Utara dan Gorontalo),,
128,Bank NTB,,
128,Bank NTB Syariah,,
129,Bank BPD Bali,,
130,Bank NTT,,https://upload.wikimedia.org/wikipedia/commons/7/78/Logo_Bank_NTT.png
131,Bank Maluku MALUT,,https://upload.wikimedia.org/wikipedia/commons/9/9b/Logo_Bank_Maluku_Malut.png
132,Bank PAPUA,,https://upload.wikimedia.org/wikipedia/commons/5/50/Logo_Bank_Papua.png
133,Bank Bengkulu,,
134,Bank SULTENG (Bank Sulawesi Tengah),,https://upload.wikimedia.org/wikipedia/commons/d/db/Logo_Bank_Sulteng.png
135,Bank SULTRA,,https://upload.wikimedia.org/wikipedia/commons/d/d2/Logo_Bank_Sultra.png
137,Bank BPD Banten,,https://upload.wikimedia.org/wikipedia/commons/8/84/BankBanten.png
145,Bank Nusantara Parahyangan,,
146,Bank Swadesi (Bank of India Indonesia),,
147,Bank Muamalat,,https://upload.wikimedia.org/wikipedia/commons/8/81/Muamalat_Logo.png
151,Bank Mestika Dharma,,
152,Bank SHINHAN Indonesia (Bank Metro Express),,
153,Bank Sinar Mas,,https://upload.wikimedia.org/wikipedia/commons/7/73/Bank_Sinarmas.png
157,Kasikornbank Indonesia (Eks Bank Maspion),,https://upload.wikimedia.org/wikipedia/commons/7/75/Bank_Maspion_logo.svg
159,Bank Hagakita,,
161,Bank Ganesha,,https://upload.wikimedia.org/wikipedia/commons/c/cf/Bank_Ganesha.png
162,Bank Windu Kentjana,,
164,Bank ICBC Indonesia (Halim Indonesia Bank),,https://upload.wikimedia.org/wikipedia/commons/d/da/ICBC_Bank_logo.png
166,Bank Harmoni International,,
167,Bank QNB Kesawan (Bank QNB Indonesia),,https://upload.wikimedia.org/wikipedia/commons/8/8f/QNB_Logo.svg
200,Bank Tabungan Negara (Bank BTN),,https://upload.wikimedia.org/wikipedia/commons/c/ca/BTN_2024.svg
212,Bank Himpunan Saudara 1906,,
212,Bank Woori Saudara,,https://upload.wikimedia.org/wikipedia/commons/e/e7/Logo_of_Woori_Bank.svg
213,Bank SMBC Indonesia (Eks Bank BTPN),,https://upload.wikimedia.org/wikipedia/commons/6/64/Logo_of_Bank_BTPN.svg
213,Jenius,,
253,Bank Nano Syariah,,https://upload.wikimedia.org/wikipedia/id/2/25/NanoBanksyariah-Logo.png
405,Bank Swaguna,,
425,Bank BJB Syariah,,https://upload.wikimedia.org/wikipedia/commons/f/f3/Logo_Bank_BJB_Syariah.png
426,Bank Mega,,https://upload.wikimedia.org/wikipedia/commons/a/af/Bank_Mega_2013.svg
441,Bank KB Bukopin,,https://upload.wikimedia.org/wikipedia/commons/5/5a/KB_Bukopin.svg
451,Bank Syariah Indonesia,https://www.bankbsi.co.id/,https://upload.wikimedia.org/wikipedia/commons/a/a0/Bank_Syariah_Indonesia.svg
459,Krom Bank (Eks. Bank Bisnis Internasional),,https://upload.wikimedia.org/wikipedia/commons/0/02/Krom_Bank.png
466,Bank Sri Partha,,
472,Bank Saqu Indonesia (Eks Bank Jasa Jakarta),,
484,Bank Hana (Eks. Bank Bintang Manunggal),,
485,Bank MNC Internasional (Bank Bumiputera),,
490,Bank Neo Commerce (Akulaku),,https://upload.wikimedia.org/wikipedia/commons/e/ee/Bank_Neo_Commerce.png
491,Bank Mitraniaga,,
494,Bank Raya (BRI Agro Niaga),,https://upload.wikimedia.org/wikipedia/commons/0/03/Bank_Raya_2023_%28with_BRI_2025_logo%29.svg
498,Bank SBI Indonesia (Bank Indomonex),,
501,BCA Digital (Eks Bank Royal Indonesia),,
503,Bank National Nobu (Bank Alfindo),,
506,Bank Mega Syariah,,https://upload.wikimedia.org/wikipedia/commons/a/af/Bank_Mega_2013.svg
513,Bank Ina Perdana,,
517,Bank Panin Dubai Syariah,,https://upload.wikimedia.org/wikipedia/commons/5/51/Panin_Dubai_Syariah_Bank.png
520,Prima Master Bank,,
521,Bank KB Bukopin Syariah,,https://upload.wikimedia.org/wikipedia/commons/5/5a/KB_Bukopin.svg
523,Bank Sahabat Sampoerna (Bank Dipo International),,
525,Bank Akita,,https://upload.wikimedia.org/wikipedia/commons/2/2e/THE_AKITA_BANK_Logo.svg
526,Bank Oke Indonesia (Liman International Bank),,
531,Bank Amar Indonesia (Eks Anglomas Internasional Bank),,
535,SeaBank (Eks Bank Kesejahteraan Ekonomi),,https://upload.wikimedia.org/wikipedia/commons/8/88/Logo_SeABank.svg
536,Bank BCA Syariah,,https://upload.wikimedia.org/wikipedia/commons/b/bd/BCA_Digital_logo.svg
542,Bank Jago (Eks Bank Artos Indonesia),,https://upload.wikimedia.org/wikipedia/commons/c/c0/Logo-jago.svg
547,Bank BTPN Syariah,,https://upload.wikimedia.org/wikipedia/commons/f/fb/BTPN_Syariah_logo.png
547,Bank Purba Danarta,,
548,Bank Multi Arta Sentosa,,
553,Bank Mayora Indonesia,,
555,Bank Index Selindo,,
558,Bank Eksekutif,,
559,Centratama Nasional Bank,,
562,Bank Superbank Indonesia (Eks Bank Fama Internasional),,https://upload.wikimedia.org/wikipedia/commons/b/be/Logo_Bank_Fama_International.png
564,Bank Mandiri Taspen Pos (Bank Sinar Harapan Bali),,https://upload.wikimedia.org/wikipedia/commons/2/28/Logo_Bank_Mandiri_Taspen_Official.png
566,Bank Victoria International,,
567,Allo Bank (Eks Bank Harda),,https://upload.wikimedia.org/wikipedia/commons/e/ed/Allo_Bank_logo.png
600,BPR Supra Artapersada,,
688,BPR KS (Karyajatnika Sedaya),,
789,Indosat Dompetku,,https://upload.wikimedia.org/wikipedia/commons/f/fb/Indosat_Ooredoo_Hutchison.svg
911,LinkAja,,https://upload.wikimedia.org/wikipedia/commons/c/ca/Link_logo_%282019%29.svg
911,Telkomsel Tcash,,https://upload.wikimedia.org/wikipedia/commons/c/ca/Link_logo_%282019%29.svg
945,Bank Agris (Bank Finconesia),,
946,Bank Merincorp,,
947,Bank Aladin Syariah (Eks Bank Maybank Indocorp),,https://upload.wikimedia.org/wikipedia/commons/a/ad/Bank_Aladin.png
949,Bank CTBC (China Trust) Indonesia,,https://upload.wikimedia.org/wikipedia/commons/d/d0/Taiwan_Stock_Museum_and_CTBC_Bank_logos_view_from_Zhongshan_Road%2C_Taipei_20240115.jpg
950,Bank Commonwealth,,https://upload.wikimedia.org/wikipedia/commons/7/73/Commonwealth_Bank_Logo.svg
